names,,,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD
licence,,,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57
revised,,,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD
row,year,flu week,SB rate,CS rate,YE rate,MS rate,LC rate,GA rate,FL rate,PR rate,CA rate,PH rate,HI rate,RA rate,LA rate,RO rate,BE rate,VA rate,TO rate,BH rate,BL rate,MA rate,PO rate,RI rate,PW rate,RS rate,TE rate,TR rate,SH rate,SA rate,GL rate,FA rate,SG rate,MC rate,BR rate,ME rate,LI rate,PA rate,GF rate,JE rate,WI rate,MI rate,LN rate,CMHD rate,SB rate,CS count,YE count,MS count,LC count,GA count,FL count,PR count,CA count,PH count,HI count,RA count,LA count,RO count,BE count,VA count,TO count,BH count,BL count,MA count,PO count,RI count,PW count,RS count,TE count,TR count,SH count,SA count,GL count,FA count,SG count,MC count,BR count,ME count,LI count,PA count,GF count,JE count,WI count,MI count,LN count,CMHD count,SB pop,CS pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop
99,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
100,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
101,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
102,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
103,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
104,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
105,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34374,81674,149702,110172,64242,91295,91236,1738,10090,4191,16385,40357,28968,10493,9205,7458,5151,13054,6573,7643,6189,10142,7077,9331,6057,713,3418,11392,13568,2930,3585,1709,5729,1877,2377,15506,1254,11371,981,4212,19621,27475
106,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
107,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
108,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
109,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
110,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
111,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
112,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
113,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
114,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
115,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
116,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
117,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
118,3,13,0,0,0,0,0,0.00002162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
119,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0.000034466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
120,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
121,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
122,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
123,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
124,3,19,0,0,0,0,0.000015451,0,0,0,0,0,0,0,0,0.000092166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000088363,0,0,0,0.000072889,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
125,3,20,0,0.000012256,0,0,0.000324465,0.00001081,0,0,0,0,0,0,0,0.000829493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000072889,0,1,0,0,21,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
126,3,21,0.000029027,0,0,0,0.000293563,0.00002162,0,0,0,0,0,0,0,0.000460829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000072889,1,0,0,0,19,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
127,3,22,0,0,0,0.000009008,0.00021631,0.00001081,0.00003276,0,0,0,0,0.000024653,0,0.000552995,0.000106883,0,0.000766871,0.000076947,0,0,0.000325045,0,0,0,0,0,0,0.000087982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,3,0,0,0,0,1,0,6,1,0,4,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
128,3,23,0,0,0.000006596,0,0.000154507,0.00001081,0.000677033,0,0,0,0,0,0,0.000092166,0.000106883,0,0.000383436,0,0,0,0.000162522,0,0,0.000427579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109333,0,0,1,0,10,1,62,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
129,3,24,0,0.000024511,0.000013192,0,0.000108155,0.00001081,0.000862671,0,0,0.000242954,0,0.000024653,0,0.000737327,0.000213767,0,0,0,0,0,0,0,0,0.000427579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000051329,0,0,2,2,0,7,1,79,0,0,1,0,1,0,8,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
130,3,25,0,0,0,0.000018015,0.000030901,0.000054051,0.000185638,0,0,0,0.000061013,0.000049306,0,0.000368664,0.00032065,0,0.000383436,0,0,0,0.000325045,0,0,0.001389631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000051329,0.000036444,0,0,0,2,2,5,17,0,0,0,1,2,0,4,3,0,2,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
131,3,26,0,0,0,0,0.000077253,0.000054051,0.00101555,0,0,0,0,0.000049306,0,0.000368664,0.000106883,0,0.000575153,0,0,0,0.000162522,0.000092773,0,0.000748263,0,0,0,0,0.000146338,0,0,0,0,0,0,0,0,0,0,0.000485319,0.000051329,0.000328,0,0,0,0,5,5,93,0,0,0,0,2,0,4,1,0,3,0,0,0,1,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,9,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
132,3,27,0,0.000012256,0.000013192,0,0.000139056,0.00002162,0.001070149,0,0,0,0,0,0,0.000184332,0,0.000266773,0.000958589,0,0,0,0.000162522,0.000185546,0,0,0,0,0,0,0.000073169,0,0,0,0,0,0,0.000192431,0,0,0,0,0.000359306,0.000145778,0,1,2,0,9,2,98,0,0,0,0,0,0,2,0,2,5,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,7,4,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
133,3,28,0,0.000012256,0.000013192,0.000153131,0.000108155,0.00002162,0.00104831,0,0,0,0,0,0,0,0,0,0.000766871,0.000153894,0,0,0.000325045,0,0,0,0,0,0,0,0.000219507,0.000991408,0,0,0,0,0,0.000449006,0,0,0,0.000970638,0.000307977,0.000109333,0,1,2,17,7,2,96,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,4,6,3,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
134,3,29,0,0.000024511,0.000006596,0.0002342,0.00023176,0.000075671,0.00102647,0,0,0,0,0.000172571,0,0.000645161,0,0,0.000575153,0.000076947,0,0,0,0,0,0,0,0,0.000845309,0,0.000073169,0,0,0,0,0,0,0.000320718,0,0,0,0.003882553,0.000718612,0,0,2,1,26,15,7,94,0,0,0,0,7,0,7,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,0,0,16,14,0,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
135,3,30,0,0.000085789,0,0.000216185,0.000339915,0.000075671,0.000775312,0,0,0,0,0,0,0,0.000748183,0,0.000575153,0.000076947,0,0,0,0,0,0,0,0,0.001408848,0,0.000219507,0,0,0,0,0,0,0.001282874,0,0,0,0.002911915,0.000359306,0.000145778,0,7,0,24,22,7,71,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,20,0,0,0,12,7,4,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
136,3,31,0,0.000049022,0,0,0,0.000075671,0.000917271,0.006274957,0,0,0,0.000098612,0,0.000184332,0.00096195,0,0,0,0,0,0,0.000092773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000320718,0,0,0,0,0.000205318,0.000145778,0,4,0,0,0,7,84,11,0,0,0,4,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,34451,81596,151606,111016,64722,92506,91576,1753,10135,4116,16390,40563,29014,10850,9356,7497,5216,12996,6656,7664,6153,10779,7075,9355,6056,722,3549,11366,13667,3026,3582,1700,5763,1887,2392,15590,1244,11317,1034,4121,19482,27439
