names,,,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD
licence,,,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57
revised,,,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD
row,year,flu week,SB rate,CS rate,YE rate,MS rate,LC rate,GA rate,FL rate,PR rate,CA rate,PH rate,HI rate,RA rate,LA rate,RO rate,BE rate,VA rate,TO rate,BH rate,BL rate,MA rate,PO rate,RI rate,PW rate,RS rate,TE rate,TR rate,SH rate,SA rate,GL rate,FA rate,SG rate,MC rate,BR rate,ME rate,LI rate,PA rate,GF rate,JE rate,WI rate,MI rate,LN rate,CMHD rate,SB rate,CS count,YE count,MS count,LC count,GA count,FL count,PR count,CA count,PH count,HI count,RA count,LA count,RO count,BE count,VA count,TO count,BH count,BL count,MA count,PO count,RI count,PW count,RS count,TE count,TR count,SH count,SA count,GL count,FA count,SG count,MC count,BR count,ME count,LI count,PA count,GF count,JE count,WI count,MI count,LN count,CMHD count,SB pop,CS pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop
8,1,8,0.000847606,0.000085899,0.000262881,0.000182762,0.008888539,0.001272279,0.002014243,0.005175388,0,0,0.004026014,0,0.001736955,0.002393948,0.001837242,0.000948895,0.005614823,0.015489467,0.00030755,0.012992075,0.003085417,0.003586433,0,0.004107664,0,0,0.001187648,0.001579779,0,0.013845621,0.007462687,0.00286533,0,0,0,0.004808617,0.000838926,0,0.000992063,0,0.002030869,0.00094391,29,7,39,20,565,114,183,9,0,0,65,0,50,25,17,7,30,200,2,100,19,35,0,38,0,0,4,18,0,40,27,5,0,0,0,75,1,0,1,0,40,26,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
9,1,9,0.000175367,0.000024543,0.000094368,0.00004569,0.003256509,0.000803545,0.001243767,0.012650949,0,0,0.002725302,0,0.000972695,0.006415781,0.000540365,0.001220008,0.005614823,0,0,0.006236196,0,0.00625064,0,0.003459086,0,0,0,0.001579779,0.000074538,0.001384562,0.007462687,0.001146132,0,0.000532481,0.000426076,0.012374175,0.000838926,0,0.000992063,0,0,0.002178254,6,2,14,5,207,72,113,22,0,0,44,0,28,67,5,9,30,0,0,48,0,61,0,32,0,0,0,18,1,4,27,2,0,1,1,193,1,0,1,0,0,60,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
10,1,10,0.000116911,0.000012271,0.000026962,0,0,0.000122764,0.000737455,0.002875216,0,0,0.001796222,0,0.000416869,0.012161256,0.000216146,0.002575573,0.001871608,0,0,0.000519683,0,0.003586433,0,0.002378121,0,0,0,0.000526593,0,0.009691935,0.00525152,0.003438395,0,0,0,0.009232545,0.000838926,0,0,0,0.000913891,0.001161735,4,1,4,0,0,11,67,5,0,0,29,0,12,127,2,19,10,0,0,4,0,35,0,22,0,0,0,6,0,28,19,6,0,0,0,144,1,0,0,0,18,32,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
11,1,11,0.000087683,0.000012271,0.000013481,0,0.003256509,0.00001116,0.000176109,0.004025302,0,0,0.00142459,0,0.000347391,0.01244853,0.000108073,0.003931137,0,0,0,0,0,0.000204939,0,0.000324289,0,0,0.001187648,0.001053186,0,0.003115265,0.004698729,0.011461318,0,0,0,0.000769379,0,0,0.00297619,0,0.000507717,0.000508259,3,1,2,0,207,1,16,7,0,0,23,0,10,130,1,29,0,0,0,0,0,2,0,3,0,0,4,12,0,9,17,20,0,0,0,12,0,0,3,0,10,14,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
12,1,12,0.000029228,0,0.000262881,0,0.000692205,0,0.000088054,0.002875216,0,0,0.002043976,0,0.000347391,0.003926075,0.000324219,0.001084452,0,0,0,0,0,0.000819756,0,0.000324289,0,0,0,0.000614358,0,0,0.004422333,0.006303725,0,0,0,0.000577034,0,0,0,0,0.000456946,0.000072608,1,0,39,0,44,0,8,5,0,0,33,0,10,41,3,8,0,0,0,0,0,8,0,3,0,0,0,7,0,0,16,11,0,0,0,9,0,0,0,0,9,2,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
13,1,13,0.000058456,0.000012271,0.000094368,0,0.00007866,0,0.000022014,0,0,0,0.000867142,0,0.000104217,0.001340611,0.000324219,0.000813339,0,0,0,0,0,0,0,0.000756675,0,0,0,0.000614358,0,0,0.001105583,0.002292264,0,0,0,0.000448804,0,0,0,0,0.000203087,0,2,1,14,0,5,0,2,0,0,0,14,0,3,14,3,6,0,0,0,0,0,0,0,7,0,0,0,7,0,0,4,4,0,0,0,7,0,0,0,0,4,0,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
14,1,14,0.000029228,0,0.000026962,0,0.00081806,0,0.000077048,0,0,0,0.002725302,0,0.000312652,0.001819401,0,0.000542226,0,0,0,0,0,0,0,0.000540482,0,0,0,0.000263296,0,0,0.001381979,0.000573066,0,0,0,0.000192345,0,0,0,0,0.00030463,0,1,0,4,0,52,0,7,0,0,0,44,0,9,19,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,0,5,1,0,0,0,3,0,0,0,0,6,0,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
15,1,15,0,0.000024543,0.000067405,0,0.000456226,0,0.000011007,0,0,0,0.00185816,0,0,0.000670305,0,0,0,0,0,0,0,0,0,0.000108096,0,0,0,0.000087765,0,0,0.002211166,0,0,0,0,0,0,0,0.000992063,0,0.000050772,0.000036304,0,2,10,0,29,0,1,0,0,0,30,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,1,1,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
16,1,16,0,0,0.000026962,0,0.000188783,0,0,0,0,0,0.002849179,0,0.000034739,0.000383032,0.000216146,0,0,0,0,0,0,0,0,0,0,0,0,0.000175531,0,0,0.003040354,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,46,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
17,1,17,0,0,0.000026962,0,0.000220247,0,0.00003302,0,0,0,0.00142459,0,0.000138956,0.000383032,0,0,0.000187161,0,0,0,0,0,0,0.000324289,0,0,0.000296912,0.000087765,0,0,0.003593145,0,0,0,0,0,0,0,0,0,0.000050772,0.000072608,0,0,4,0,14,0,3,0,0,0,23,0,4,4,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,1,2,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
